,topic_index,file_name,number_of_topics
0,3,nmf_news_politics_100%,34816
1,4,nmf_news_politics_100%,13418
2,5,nmf_news_politics_100%,23412
3,7,nmf_news_politics_100%,22867
4,0,nmf_news_economy_100%,75880
5,1,nmf_news_economy_100%,53628
6,2,nmf_news_economy_100%,45989
7,4,nmf_news_economy_100%,35406
8,5,nmf_news_economy_100%,52705
9,8,nmf_news_economy_100%,59453
10,2,nmf_news_gharantineh_100%,18595
11,4,nmf_news_gharantineh_100%,13196
12,5,nmf_news_gharantineh_100%,8693
13,8,nmf_news_gharantineh_100%,8960
14,1,nmf_news_health_100%,59744
15,3,nmf_news_health_100%,59775
16,5,nmf_news_health_100%,60004
17,8,nmf_news_health_100%,30129
18,9,nmf_news_health_100%,69288
